question,answer,source
Where should I locate my new refrigerator for optimal performance?,"According to section 3 of this manual, you should install your refrigerator in an appropriate location as described on page 10.",freezer.pdf
How do I adjust the feet of my refrigerator during installation?,"Refer to page 11 of this manual, which explains how to adjust the feet after installing the plastic wedges.",freezer.pdf
What is the best way to freeze fresh food in my new refrigerator?,You can find recommendations for preserving frozen food on page 16 of this manual.,freezer.pdf
How do I prevent bad odors from forming in my freezer?,"According to section 6 of this manual, you should follow the tips on avoiding bad odors on page 18.",freezer.pdf
How often should I clean the plastic surfaces of my refrigerator?,The manual suggests cleaning the plastic surfaces regularly to protect them (page 18).,freezer.pdf
What if I notice that my freezer is not cooling properly? Where can I find troubleshooting tips?,"You can refer to section 7 of this manual, which covers troubleshooting and related information on page 19.",freezer.pdf
How should I clean the refrigerator to avoid any damage?,"Do not use steam or steamed cleaning materials, as they may cause a short circuit or electric shock.",freezer.pdf
What is the recommended way to wash the product?,"Do not wash the product by spraying or pouring water on it, as it poses a danger of electric shock.",freezer.pdf
What should I do if the refrigerator malfunctions?,"Do not use the product until you contact the authorized service for assistance, as it may cause an electric shock.",freezer.pdf
Where should I plug in the refrigerator to ensure safety?,"Plug the product into an earthed socket, and have a qualified electrician perform earthing if necessary.",freezer.pdf
What should I do with LED type lighting problems or replacements?,Contact the authorized service for assistance with replacing or resolving any issues with LED type lighting.,freezer.pdf
How can I prevent frozen food from sticking to my hands?,"Do not touch frozen food with wet hands, as it may adhere to your skin.",freezer.pdf
Can I store liquids in bottles and cans in the freezer compartment?,"No, as they may burst out; instead, place liquids in upright positions after tightly closing their lids.",freezer.pdf
What should I avoid doing near the refrigerator to prevent accidents?,"Do not spray flammable substances near the product, as it may burn or explode.",freezer.pdf
What should I avoid keeping inside the refrigerator?,"Flammable materials and products with flammable gas, such as sprays.",freezer.pdf
Where should not place containers holding liquids in the refrigerator?,"On top of the product, to prevent splashing water on electrified parts and risk of electric shock or fire.",freezer.pdf
What precautions should I take when relocating the refrigerator?,"Avoid exposing it to rain, snow, sunlight, and wind, and do not pull by holding the door handle (it may come off).",freezer.pdf
How can I avoid damage to the product's moving parts?,Take care to avoid trapping any part of your hands or body in them.,freezer.pdf
What should I avoid doing with the refrigerator's doors and drawers?,"Do not step or lean on them, as this may cause the product to fall down and damage its parts.",freezer.pdf
How can I prevent tripping over the power cable?,Take care not to trap it.,freezer.pdf
What is the required water pressure for the refrigerator's water system to operate properly?,The water pressure should be between 1-8 bars.,freezer.pdf
Do I need a pressure regulator if my water mains have a high pressure?,"Yes, you need a pressure regulator if the pressure in your water mains is higher than 5 bars.",freezer.pdf
Can I use tap water to fill the ice dispenser?,"Yes, but only drinking water should be used for this purpose.",freezer.pdf
Is this refrigerator suitable for commercial use?,"No, it's designed for home use only.",freezer.pdf
What kind of products should not be stored in this refrigerator?,"Sensitive products requiring controlled temperatures, such as vaccines and heat-sensitive medication.",freezer.pdf
How long will spare parts be available for this product?,Spare parts will be available for 10 years from the date of purchase.,freezer.pdf
Where should I keep the packaging materials after unpacking?,Keep packaging materials out of children's reach.,freezer.pdf
What does the icon (,The freezer is turned off.,freezer.pdf
At what temperature setting does the Economic Usage Indicator turn on?,"-18°C, which is the most economical set value for the Freezer Compartment.",freezer.pdf
How does the Power failure/High temperature/error warning indicator behave during sustained power failures?,It illuminates and displays the highest temperature that the freezer compartment reaches.,freezer.pdf
What happens to the Economic Usage Indicator when the Quick Fridge or Quick Freeze function is selected?,It turns off.,freezer.pdf
What does the Eco Extra Indicator (,The Eco Extra Function is active.,freezer.pdf
How can you activate the Key Lock mode on this product?,The Key Lock indicator ( ) will light up when activated.,freezer.pdf
Where are the temperature settings for the Freezer Compartment displayed?,"On the Indicator panel, specifically on key 3.",freezer.pdf
What is the normal recommended setting for the fridge compartment?,-18°C.,freezer.pdf
"When should I use a lower temperature setting (-20, -22 or -24°C) for the fridge compartment?",When the ambient temperature exceeds 30°C.,freezer.pdf
How does the Quick Freeze function work?,"It allows you to freeze food quickly, and then returns to its previous mode when the process is over.",freezer.pdf
What is the recommended setting for the freezer compartment for preserving frozen food?,-18°C or lower.,freezer.pdf
Why should I put packages in the freezer as quickly as possible after purchase without allowing them to thaw?,To preserve the quality and safety of the food.,freezer.pdf
"How much weight can a 100-liter freezer volume freeze at 32°C ambient temperature within 24 hours, according to IEC 62552 standards?",At least 4.5 kg.,freezer.pdf
"Where should I place meat, fish, ice cream, and other frozen foods?",On the freezer compartment shelves.,freezer.pdf
What type of food can be placed on the door shelves of the fridge compartment?,Small and packaged food or beverage.,freezer.pdf
How often should I clean my refrigerator to extend its service life?,You should clean your fridge at regular intervals.,freezer.pdf
Should I unplug the product before cleaning it?,"Yes, always unplug the product before cleaning it.",freezer.pdf
What substances should I never use for cleaning purposes?,"Never use gasoline, benzene, or similar substances, sharp and abrasive tools, soap, household cleaners, detergent, or wax polish.",freezer.pdf
How can I prevent odours from forming in my refrigerator?,"Keeping the refrigerator clean is important. Food residuals, stains, etc., can cause odour. Clean the refrigerator with bi-carbonate dissolved in water every few months.",freezer.pdf
What should I do to keep food odours under control?,Keep the food in closed containers. Microorganisms spreading out from uncovered containers can cause unpleasant odours.,freezer.pdf
Can I put oil-cooked meals in my refrigerator in unsealed containers?,"No, it's not recommended. Liquid oils or oil-cooked meals in unsealed containers can damage the plastic surfaces of the refrigerator.",freezer.pdf
How should I clean up spills on plastic surfaces?,Clean and rinse the relevant part of the surface at once with warm water if oil is spilled or smeared onto the plastic surfaces.,freezer.pdf
What should I do before leaving the refrigerator unused for a long period of time?,"Unplug it, remove all food inside, clean it, and leave the door ajar.",freezer.pdf
How often should I check that the door gaskets are clean?,Regularly.,freezer.pdf
Why is my refrigerator's freezer too warm?,"The cooler compartment temperature setting may be set to a high degree, affecting the freezer compartment. Try changing the temperature and waiting for it to stabilize.",freezer.pdf
How can I prevent the cool or freezer compartments from getting too hot?,"Avoid opening the doors frequently, ensure the door is fully closed, and avoid placing hot food inside the refrigerator.",freezer.pdf
Why is my refrigerator shaking when moved slowly?,The product may not be balanced properly. Check that the stands are adjusted to balance the weight of the product and ensure the ground is durable enough to bear it.,freezer.pdf
Can items placed on top of the refrigerator cause noise?,"Yes, removing any items placed on top of the refrigerator can help reduce noise.",freezer.pdf
Why does my refrigerator make a sound like liquid flowing or spraying?,This is normal and not a malfunction. The product's operating principles involve liquid and gas flows.,freezer.pdf
Is it normal to hear wind blowing sounds coming from the refrigerator?,"Yes, this is normal as the product uses a fan for cooling purposes.",freezer.pdf
Why is there condensation on the internal walls of my refrigerator?,This can be caused by hot or humid weather. Closing the door frequently and ensuring it's fully closed can help minimize condensation.,freezer.pdf
Is it normal to see condensation on the exterior or between doors of the refrigerator?,"Yes, this is common in humid weather conditions. The condensation will dissipate once humidity levels decrease.",freezer.pdf
What should I do if the product is damaged?,Do not dispose of it by throwing it in a fire. Keep it away from potential heat sources that can cause ignition.,freezer.pdf
Can I throw away the product if it's damaged?,"No, you cannot dispose of it by throwing it in a fire.",freezer.pdf
What should I do with hot food before putting it in the freezer?,Do not put hot food directly into the freezer. Make sure to let it cool down first.,freezer.pdf
How far away should I place the refrigerator from potential heat sources?,"You should keep it at least 30 inches away from heating units, and 5 inches away from electric outlets.",freezer.pdf
What happens if I leave the fridge's doors open for a long time?,It can increase energy consumption and decrease the efficiency of the fridge.,freezer.pdf
How can I maximize the storage capacity in my freezer?,"You can store more food in the freezer when you take out the shelves or drawers, as the increased load will not hinder air circulation inside the freezer.",freezer.pdf
What is the recommended way to store food in the freezer?,Store food in airtight containers to preserve quality and prevent energy waste.,freezer.pdf
How can I save energy while using my fridge?,"Make sure to close doors tightly, avoid overloading, and don't place hot food directly into the fridge. Also, try to thaw frozen food in the fridge rather than at room temperature.",freezer.pdf
What is special about this refrigerator's cooling system?,"It has two separate cooling systems for the fresh food compartment and freezer, which keeps the air in each compartment separate.",freezer.pdf
Why does this refrigerator have an additional energy-saving feature?,Because its automatic defrosting function is independent of other operations.,freezer.pdf
What should I do before putting hot food into the refrigerator?,Let it cool down to room temperature first.,freezer.pdf
How should I prepare fresh food for storage in the refrigerator?,"Cover or wrap it tightly, and make sure it's cooked or ready to eat.",freezer.pdf
Why is it important to use proper wrapping materials when storing food?,"To prevent moisture and air from entering the package, which can cause spoilage.",freezer.pdf
What should I do with frozen food once it's thawed?,Use it immediately; do not re-freeze it.,freezer.pdf
How should I freeze food to maintain its quality?,"Freeze it quickly, without delaying or mixing frozen and fresh foods.",freezer.pdf
What is the recommended temperature setting for this refrigerator?,-18°C (-4°F) degrees Celsius/Fahrenheit.,freezer.pdf
Can I adjust the temperature settings based on external conditions?,"Yes; if the ambient temperature exceeds 30°C (86°F), set it to -24, -22, or -20°C (-12, -8, or -4°F).",freezer.pdf
"What is the ""Quick Freeze"" function for?","To freeze food quickly, preserving its quality and flavor.",freezer.pdf
"When should I use the ""Quick Freeze"" function?",For high-quality freezing of meat and fish products.,freezer.pdf
How can I ensure my refrigerator's freezer compartment is cold enough?,"Check the temperature settings; if necessary, set it to -18°C (-4°F) or lower.",freezer.pdf
What is the purpose of reading the user manual?,To understand important safety information and instructions on operating and maintaining your appliance.,zanussi.pdf
Why should you keep the user manual for future reference?,In case you need to refer back to it later for troubleshooting or maintenance purposes.,zanussi.pdf
What type of risk is indicated by the icon with a lightning symbol?,A risk of electric shock from dangerous voltage.,zanussi.pdf
What should you do before using your appliance according to the user manual?,Take the time to read the user manual and understand its contents.,zanussi.pdf
Why is it important to follow the instructions in the user manual?,To avoid injury or property damage.,zanussi.pdf
How do I remove the transit bolts from my washing machine?,"To remove the transit bolts, refer to Section 3.1 of the manual.",zanussi.pdf
What is the correct procedure for adjusting the feet or adjustable stays of my washing machine?,The adjustment instructions can be found in Section 3.2 of the manual.,zanussi.pdf
Where is the detergent drawer located on my washing machine?,The detergent drawer is described in Section 4.1 of the manual.,zanussi.pdf
"What does the program dial do, and how do I use it to select a wash cycle?",The program dial is explained in Section 4.3 of the manual.,zanussi.pdf
"How do I prepare my laundry for washing, according to the user manual?",Refer to Section 5.1 of the manual for instructions on preparing your laundry.,zanussi.pdf
Can I add detergent to the machine at any time during the wash cycle?,"No, adding detergent after the cycle has started may not be effective; follow the instructions in Section 5.3.",zanussi.pdf
What happens if the half-load detection system is triggered?,"The manual does not provide a specific answer for this question, but you can refer to Section 9 (Troubleshooting) or consult an authorized service technician.",zanussi.pdf
How often should I clean the water inlet filters on my washing machine?,Check and clean the water inlet filters regularly as described in Section 7.2 of the manual.,zanussi.pdf
What should I do with the packaging materials after unpacking my machine?,"Remove the packaging materials, as they protect your machine from damage during transportation and are recyclable.",zanussi.pdf
How can I get the most efficient use out of my washing machine?,Follow some important information such as not exceeding the maximum load for the chosen programme and avoiding using pre-wash feature for lightly soiled laundry to save on electricity and water consumption.,zanussi.pdf
What should I do if I need to replace the drive belt of my machine?,"Only have it replaced by an authorized service, and use only the original spare belt (42006395 Optibelt 6 EPJ 1236).",zanussi.pdf
Why is it not recommended to exceed the maximum load for a washing programme?,Exceeding the maximum load can prevent your machine from running in energy-saving mode.,zanussi.pdf
